"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Ni no Kuni II: Revenant Kingdom","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$7.40","","","","","","","Purchase","","","","3/23/2018","3/23/2018","4/4/2018","Action RPG"
"Ni no Kuni: Wrath of the White Witch","","PlayStation 3","Physical (Unassigned)","NA","No","No","Owned","Finished","$7.57","","","","","","","Purchase","","","","11/17/2011","1/22/2013","4/29/2017","RPG"
"NieR Replicant ver.1.22474487139...","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$20.00","$15.00","","","","","","Purchase","","","","4/22/2021","4/23/2021","9/6/2023","Hack and Slash (RPG)"
"NieR: Automata","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","$13.39","","","","","","","Purchase","","","","2/23/2017","3/7/2017","4/29/2017","Hack and Slash (RPG)"
"Night in the Woods","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","2/21/2017","","2/21/2018","Graphic Adventure"
"Nintendo Land","","Wii U","Physical (Unassigned)","NA","No","No","Owned","N/A","$7.38","","","","","","","Purchase","","","","11/18/2012","11/18/2012","4/29/2017","Party"
"Nioh","","PlayStation 4","Physical (Used)","NA","No","Yes","Owned","Incomplete","$6.01","$22.00","","X","X","X","X","Purchase","","","","2/7/2017","2/7/2017","6/18/2018","Action RPG"
"Octopath Traveler","","Nintendo Switch","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$28.90","$60.00","","","","","","Purchase","","","","7/13/2018","7/13/2018","7/16/2018","JRPG"
"Octopath Traveler II","","Nintendo Switch","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$29.91","","","","","","","Purchase","","12/25/2023","","2/24/2023","2/24/2023","12/28/2023","JRPG"
"Odin Sphere","","PlayStation 3","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","5/17/2007","","4/29/2017","Action RPG"
"Odin Sphere: Leifthrasir","","PlayStation 4","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","$23.99","$22.00","","","","","","Purchase","","","","1/14/2016","6/7/2016","7/5/2019","Action RPG"
"Okami HD","","PlayStation 3","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/30/2012","10/30/2012","4/29/2017","Action-adventure"
"OMORI","","Nintendo Switch","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","$45.00","","","","","","Purchase","","","","12/25/2020","","10/6/2023","RPG"
"Operation Abyss: New Tokyo Legacy","","PC / Windows","Digital","NA","No","Yes","Owned","Incomplete","","$2.00","","","","","","Purchase","","","","","","12/30/2024",""
