"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"God Wars: Future Past","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/16/2017","6/20/2017","2/1/2021","Tactical RPG"
"Governor of Poker 3","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","24/7/2018",""
"Gradius (1985)","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","26/1/2026","Scrolling Shooter"
"Gradius II: Gofer no Yabou","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/16/1988","","26/1/2026","Scrolling Shooter"
"Gradius II: Gofer no Yabou","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/16/1988","","2/1/2021","Scrolling Shooter"
"Gradius III","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1989","","2/1/2021","Scrolling Shooter"
"Grand Kingdom","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/19/2015","6/21/2016","2/1/2021","Tactical RPG"
"Grandia II: Anniversary Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Finished","","","","","","","","Purchase","","","8","","","24/7/2018","RPG"
"Grandia II: HD Remaster","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2/1/2021","RPG"
"Grandia: HD Collection","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/16/2019","8/16/2019","2/1/2021","Compilation"
"Grandia: HD Remaster","","Nintendo Switch","Digital","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2/1/2021","JRPG"
"Greyfox","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","24/7/2018",""
"Guacamelee!","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/9/2013","","26/1/2026",""
"Guacamelee! 2","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","19/1/2021","Platform-adventure"
"Guacamelee! 2","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2/1/2021","Platform-adventure"
"Guacamelee! Super Turbo Championship Edition","","PlayStation 4","Digital (PSN)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","7/2/2014","","2/1/2021","Platform-adventure"
"Guacamelee! Super Turbo Championship Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/2/2014","","24/7/2018","Platform-adventure"
"Guilty Gear Isuka","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/17/2003","","24/7/2018","Fighting"
"Gunvolt Chronicles: Luminous Avenger iX","","PlayStation 4","Digital (PSN)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/26/2019","9/26/2019","2/1/2021",""
"Hades","","Nintendo Switch","Digital (Nintendo eShop)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","10","9/17/2020","9/17/2020","2/1/2021","Hack and Slash (RPG)"
"Hades II","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","26/1/2026",""
"Haiku, the Robot","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","26/1/2026",""
"Half Minute Hero: Super Mega Neo Climax Ultimate Boy","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/27/2012","9/27/2012","24/7/2018","Action RPG"
"Half Minute Hero: The Second Coming","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/4/2011","4/4/2014","24/7/2018","Action RPG"
"Haunted Castle","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1987","","26/1/2026","Platformer"
"Heaven's Vault","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/16/2019","4/16/2019","26/1/2026","Graphic Adventure"
