"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Call of Duty 3","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","$5.14","","","","","","","Purchase","","","","11/7/2006","11/7/2006","8/16/2017","First-person Shooter"
"Call of Duty 4: Modern Warfare","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$5.00","","","","","","","Purchase","","","6","11/5/2007","11/5/2007","8/16/2017","First-person Shooter"
"Call of Duty: Advanced Warfare","","Xbox One","Physical (Unassigned)","NA","No","No","Owned","Finished","$6.75","","","","","","","Purchase","","","","11/3/2014","11/3/2014","8/16/2017","First-person Shooter"
"Call of Duty: Black Ops","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$8.81","","","","","","","Purchase","","","","11/9/2010","11/9/2010","8/16/2017","First-person Shooter"
"Call of Duty: Black Ops","","PlayStation 3","Physical (Unassigned)","NA","No","No","Owned","Incomplete","$6.13","","","","","","","Purchase","","","","11/9/2010","11/9/2010","8/16/2017","First-person Shooter"
"Call of Duty: Black Ops Cold War","","PlayStation 5","Physical (Unassigned)","NA","No","No","Owned","Finished","$18.58","","","","","","","Purchase","","","8","11/13/2020","11/13/2020","12/24/2020","First-person Shooter"
"Call of Duty: Black Ops II","","PlayStation 3","Physical (Unassigned)","NA","No","No","Owned","Finished","$10.23","","","","","","","Purchase","","","","11/13/2012","11/13/2012","8/16/2017","First-person Shooter"
"Call of Duty: Black Ops III","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","$8.99","","","","","","","Purchase","","","","11/6/2015","11/6/2015","8/16/2017","First-person Shooter"
"Call of Duty: Finest Hour","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","$6.23","","","","","","","Purchase","","","6","11/16/2004","11/16/2004","8/16/2017","First-person Shooter"
"Call of Duty: Ghosts","","PlayStation 3","Physical (Unassigned)","NA","No","No","Owned","Incomplete","$3.50","","","","","","","Purchase","","","7","11/5/2013","11/5/2013","7/24/2017","First-person Shooter"
"Call of Duty: Modern Warfare (2019)","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","10/25/2019","10/25/2019","12/13/2019","First-person Shooter"
"Call of Duty: Modern Warfare 2","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$6.71","","","","","","","Purchase","","","8","11/10/2009","11/10/2009","8/16/2017","First-person Shooter"
"Call of Duty: Modern Warfare 3","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$6.01","","","","","","","Purchase","","","7","11/8/2011","11/8/2011","8/16/2017","First-person Shooter"
"Call of Duty: World at War","","Xbox 360","Physical (Unassigned)","NA","No","No","Owned","Finished","$7.96","","","","","","","Purchase","","","","11/10/2008","11/11/2008","8/16/2017","First-person Shooter"
"Call of Duty: WWII","","PlayStation 4","Physical (Unassigned)","NA","No","No","Owned","Finished","$10.00","","","","","","","Purchase","","","8","11/2/2017","11/3/2017","11/4/2017","First-person Shooter"
"Celeste","","Nintendo Switch","Physical (Unassigned)","NA","No","No","Owned","Finished","$41.00","","","","","","","Purchase","","","8","1/25/2018","10/14/2019","12/7/2018","Platformer"
"Chaos Rings","","Mobile (Android)","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","4/20/2010","","6/1/2017","JRPG"
