"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Blackguards","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","1/22/2014","","7/17/2023","Turn-based Strategy"
"Blackwake","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"The Blackwell Convergence","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","1/13/2012","","7/17/2023","Graphic Adventure"
"The Blackwell Deception","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","1/13/2012","","7/17/2023","Graphic Adventure"
"The Blackwell Epiphany","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","4/24/2014","","7/17/2023","Graphic Adventure"
"The Blackwell Legacy","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","1/13/2012","","7/17/2023","Graphic Adventure"
"Blackwell Unbound","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","1/13/2012","","7/17/2023","Graphic Adventure"
"Blood Omen 2","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","3/21/2002","","7/17/2023","Action-adventure"
"Bloodstained: Ritual of the Night","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","6/17/2019","","7/17/2023","Platform-adventure"
"Blue Fire","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","2/4/2021","","7/17/2023","Platformer"
"Blueberry Garden","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"The Book of Unwritten Tales","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","4","7/31/2012","","7/17/2023",""
"The Book of Unwritten Tales 2","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","9/18/2015","","7/17/2023","Graphic Adventure"
"The Book of Unwritten Tales: The Critter Chronicles","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"Booster Trooper","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"Borderlands","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","9","10/20/2009","","7/17/2023","Action RPG"
"Borderlands 2","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","10","9/18/2012","","7/17/2023","Action RPG"
"Borderlands 3","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","9","9/13/2019","","7/17/2023","Action RPG"
"Borderlands: Game of the Year Edition (2019)","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","4/3/2019","","7/17/2023","Compilation"
"Borderlands: The Pre-Sequel!","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","10/14/2014","10/14/2014","7/17/2023","Action RPG"
"Botanicula","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","6","4/19/2012","","7/17/2023","Graphic Adventure"
"Braid","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","5","8/6/2008","","7/17/2023","Puzzle-platform"
"Brainpipe: A Plunge to Unhumanity","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"Breath of Death VII: The Beginning","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","6","4/22/2010","","7/17/2023","RPG"
"The Bridge (2013)","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","2/22/2013","","7/17/2023","Puzzle"
"Broken Age","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","6","1/28/2014","","7/17/2023","Graphic Adventure"
"Broken Sword 3: The Sleeping Dragon","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/14/2003","","7/17/2023","Graphic Adventure"
"Broken Sword 5: The Serpent's Curse","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","6/20/2014","","7/17/2023",""
"Broken Sword II: The Smoking Mirror - Remastered","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","9/7/2010","9/7/2010","7/17/2023","Graphic Adventure"
"Broken Sword: The Shadow of the Templars - Director's Cut","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","6","3/19/2009","","7/17/2023","Graphic Adventure"
"Brothers: A Tale of Two Sons","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","7","8/7/2013","","7/17/2023","Graphic Adventure"
"Brutal Legend","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","7","10/13/2009","","7/17/2023","Action-adventure"
"Budget Cuts","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"Bunch of Heroes","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","5","","","7/17/2023",""
"Bunny Must Die! Chelsea and the 7 Devils","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"The Bureau: XCOM Declassified","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","8/19/2013","","7/17/2023","Tactical Shooter"
"Call of Duty","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/29/2003","","7/17/2023","First-person Shooter"
"Call of Duty: United Offensive","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","9/14/2004","","7/17/2023","First-person Shooter"
"Call of Juarez","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","9/15/2006","","7/17/2023","First-person Shooter"
"Capsized","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","4/29/2011","","7/17/2023","Platformer"
"Carcassonne (2017)","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/29/2017","","7/17/2023","Board Game"
"Cargo Commander","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","11/1/2012","","7/17/2023",""
"Cargo! The Quest for Gravity","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"Carto","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"Caster","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","3/19/2009","","7/17/2023",""
"Castle Crashers","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","9","8/27/2008","","7/17/2023","Hack and Slash (RPG)"
"Castlevania: Lords of Shadow - Mirror of Fate HD","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","10/25/2013","","7/17/2023","Platform-adventure"
"Castlevania: Lords of Shadow 2","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","2/25/2014","2/25/2014","7/17/2023","Hack and Slash (Action)"
"Castlevania: Lords of Shadow Ultimate Edition","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","8/27/2013","","7/17/2023","Hack and Slash (Action)"
"The Cat Lady","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","12/7/2012","","7/17/2023","Graphic Adventure"
"The Cave (2013)","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","6","1/22/2013","","7/17/2023","Puzzle-platform"
"Cave Story+","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","8","11/22/2011","","7/17/2023","Platform-adventure"
"Cepheus Protocol","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","","","7/17/2023",""
"Ceville","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","2/19/2009","","7/17/2023","Graphic Adventure"
