"Name","Edition","Platform","Format","Region","Now Playing","Backlogged","Ownership Status","Progress Status","Est. Value","Amt. Paid","Tags","Box/Case","Cart/Disc","Manual","Extras","Acquisition Type","Acquisition Source","Acquisition Date","Rating","Initial Release Date","Item Release Date","Added On","Genre"
"Let's School","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","7/26/2023","","2026-02-01","City-builder"
"Lethal Company","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/23/2023","","2025-01-30","Business Simulation"
"Life is Strange","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","10","1/29/2015","","2017-04-26","Compilation"
"Life is Strange: Before the Storm","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2022-01-13","Compilation"
"Life is Strange: Before the Storm - Episode 1: Awake","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/31/2017","","2022-01-13","Graphic Adventure"
"Life is Strange: Before the Storm - Episode 2: Brave New World","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2022-01-13","Graphic Adventure"
"Life is Strange: Before the Storm - Episode 3: Hell Is Empty","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2022-01-13","Graphic Adventure"
"Life is Strange: Episode 1 - Chrysalis","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","10","1/29/2015","","2017-04-26","Graphic Adventure"
"Life is Strange: Episode 2 - Out of Time","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","10","3/24/2015","","2017-04-26","Graphic Adventure"
"Life is Strange: Episode 3 - Chaos Theory","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2017-04-26","Graphic Adventure"
"Life is Strange: Episode 4 - Dark Room","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2017-04-26","Graphic Adventure"
"Life is Strange: Episode 5 - Polarized","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2017-04-26","Graphic Adventure"
"Limbo","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","7/21/2010","","2017-04-26","Cinematic-platform"
"LISA: The First","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2025-01-30",""
"Little Inferno","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","11/18/2012","11/19/2012","2017-04-26","Puzzle"
"Little Nightmares","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","4/27/2017","","2022-01-13","Cinematic-platform"
"Little Nightmares: Enhanced Edition","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/10/2025","","2026-02-01","Cinematic-platform"
"Little Witch Academia: Chamber of Time","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2022-01-13",""
"LittleBigPlanet (2008)","","PlayStation 3","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/27/2008","10/27/2008","2017-04-28","Puzzle-platform"
"LittleBigPlanet 2","","PlayStation 3","Physical (Unassigned)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","1/18/2011","1/18/2011","2017-04-28","Platformer"
"Littlewood","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/17/2019","6/17/2019","2025-01-30","Social Simulation"
"Logic Town","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","9","11/3/2023","","2026-02-01","Puzzle"
"The Long Dark","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/1/2017","8/1/2017","2019-01-22","Survival"
"Loop Hero","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","3/4/2021","","2022-01-13","RPG"
"Lost Ark","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2025-01-30","Action RPG"
"Lost Castle","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","8/31/2016","","2019-01-22","Action RPG"
"Lost Eidolons","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2025-01-30",""
"Lost Skies","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","9/17/2025","","2026-02-01","Action-adventure"
"Love","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","10","","","2017-04-26",""
"Lucid","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2017-04-26",""
"Lufia II: Rise of the Sinistrals","","Super Nintendo Entertainment System","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","10","2/24/1995","8/31/1996","2017-05-19","RPG"
"Lufia: Curse of the Sinistrals","","Nintendo DS","Physical (Unassigned)","NA","No","No","Owned","Incomplete","","","","","","","","Purchase","","","","2/25/2010","10/12/2010","2017-04-28","Action RPG"
"Luigi's Mansion: Dark Moon","","Nintendo 3DS","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","8","3/20/2013","3/24/2013","2017-04-28","Action-adventure"
"Lumines","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","12/12/2004","","2017-04-26","Puzzle"
"Luna's Fishing Garden","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","6/16/2021","","2022-01-13",""
"Machinarium","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","10/16/2009","","2017-04-26","Graphic Adventure"
"Mafia III","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2019-01-22","Action-adventure"
"Magical Drop V","","PC / Windows","Digital (Steam)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","","","2017-04-26","Puzzle"
"Magicite","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2017-04-26",""
"Magicka","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2017-04-26",""
"Maize","","PC / Windows","Digital (Steam)","NA","No","Yes","Owned","Incomplete","","","","","","","","Purchase","","","","","","2019-01-22",""
"Makai Kingdom: Chronicles of the Sacred Tome","","PlayStation 2","Physical (Unassigned)","NA","No","No","Owned","Finished","","","","","","","","Purchase","","","","3/17/2005","7/26/2005","2017-04-26","Tactical RPG"
